fid,dim,iid,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
7,5,1,1.9540475783380251,0.006235218742632447,0.8147025498414817,-0.2905312745894326,0.012920330971511693,0.8003110523130943,0.20610995582938169,0.9955227177175118
8,2,1,2.300235500907714,0.0002123760167994403,0.4329127462640942,-0.12596813961107922,0.41753699676472095,0.43318390027626336,0.8568615362413781,0.9721966361879566
8,3,1,1.428461130073385,0.0015257782155799207,0.7175064565080767,-0.24719308912241292,0.3888327413280875,0.4075205389091366,0.8545625313674704,0.9769693053513674
8,4,1,1.0746012550252992,0.005391441485302254,0.8358398153154534,-0.34262031043800506,0.3501559344220413,0.3670697421373599,0.857745709502278,0.9755900585887488
8,5,1,1.0246270043865655,0.007469661583717548,0.8519669584104039,-0.39038083251912975,0.3719587659248586,0.3903943982447021,0.8553461328173836,0.973102708182063
9,2,1,3.3633541941723495,0.0001408524336219519,0.4795939165929258,-0.10476514313014144,0.09792530063007307,0.5578081096756625,0.39590505481245175,0.9519760603463926
9,3,1,2.23105732293495,0.0012229843860304497,0.7204546771800266,-0.22542364714182273,0.07124243687901471,0.4226071069475698,0.4927610553908818,0.9099478578059312
9,4,1,2.503190069298597,0.0019723722416666967,0.8161945785640257,-0.28138283901151373,0.07747647908739508,0.3364235733380643,0.5319809271042795,0.868013132826713
9,5,1,2.225808706499889,0.003481533245270529,0.8660644374014558,-0.3393875117577911,0.06392305297034019,0.2943194661660511,0.5336233827390963,0.835799143602554
10,2,1,1.4486270362878166,0.0011881042830230956,0.40480272326884387,-0.11246193675739966,0.6308319171084072,0.7034024066324871,0.9229988472453173,0.9985960288699303
10,3,1,1.324865429280904,0.001295822391036114,0.588582057028874,-0.19215479564228055,0.4063062094114372,0.6142384146113102,0.7859483523878084,0.9982978545334131
10,4,1,1.854484458857319,0.0019131783832200065,0.6685370939097595,-0.2296942727092071,0.008769508824598222,0.7991878439483032,0.20574013942787872,0.9972211360055205
10,5,1,1.7661979035160476,0.002268367833226506,0.7271046200859423,-0.22058283985870272,0.6216513340552127,0.9183794595527861,0.6952716934281562,0.9940186539124032
11,2,1,1.0182525672871627,0.000985051373057078,0.42248657889507896,-0.08781565618527494,0.8363510862244578,0.8845025059604336,0.9471560705320503,0.9957564742345848
11,3,1,1.557957507708552,0.0010974247018268142,0.5737562953094133,-0.14738501525312064,0.7898156692589149,0.9209056682542364,0.8624988590777165,0.9970774246855494
11,4,1,1.579396141603801,0.0008626854420811466,0.5958746979587175,-0.18754600493100498,0.6680775335328706,0.8733886110304557,0.792364644031127,0.9952963211927621
11,5,1,1.69228424724891,0.0008585911970706548,0.6412698521883974,-0.21547481182095382,0.6342917232929238,0.8824308815749944,0.7465163428893408,0.9952707449680414
12,2,1,2.460406570348996,1.0094540970754216e-06,0.41084268872563184,-0.11858964736707339,0.48430326481876707,0.48582729841419264,0.8279402924901279,0.9625918738656176
12,3,1,3.316066153852338,0.0017999636783851167,0.716611850716385,-0.17647657208408252,0.4037791789363874,0.5165934810681453,0.6888664111917713,0.9489275952765438
12,4,1,6.8515252098268755,0.0005470016907545401,0.8172850456430457,-0.14202933360350933,0.29233296933921105,0.5230445892448771,0.39943145190637863,0.8283553877803495
12,5,1,12.659112815893732,0.00010139001723976021,0.8601177459689109,-0.10207241380490853,0.1460660178310018,0.3717300696283343,0.19560799760628092,0.5905555559387455
13,2,1,0.618250683319951,0.01796641727019853,0.5235427278375504,-0.14599411252049924,0.4215324466016947,0.5835203774997448,0.7638400989776859,0.9739980041740621
13,3,1,0.25418404929164284,0.040694301996992206,0.7656120248072624,-0.1951529906056398,0.8027266365970432,0.8607149978418692,0.9177771677413391,0.9950255975144029
13,4,1,0.47668975604284086,0.036155278779464145,0.811712920333878,-0.24761238570171415,0.7638129014370891,0.8791864768241071,0.852711677069146,0.9889379185411861
13,5,1,0.344199597644179,0.04324236816429027,0.8620752423679289,-0.30007161738764465,0.746874877818793,0.8449995365542818,0.8768268086268911,0.9903948721940479
14,2,1,2.2007331620222153,0.001790486137916026,0.7022113857217192,-0.13178433403379847,0.3425657011302777,0.5315252096633545,0.7635587689000545,0.9844596321371505
14,3,1,2.658782100495965,0.0016606350354158822,0.7907962504825871,-0.15506755094242636,0.5133671991658967,0.7703684994863012,0.6851632546125097,0.9841343544264147
14,4,1,2.364383195122292,0.002347042300821432,0.838113056644947,-0.18437906130810722,0.5980502931500034,0.8254973824483646,0.726947010651717,0.9963504871386669
14,5,1,2.661754207480699,0.0014565482278405067,0.8568629145249663,-0.20080297015018533,0.6560566392765498,0.9133945839517608,0.7056927133061401,0.9741726243556981
15,2,1,2.9463657749785415,0.0011824854758256263,0.5231905999264886,-0.08316140038524773,0.45558634322670793,0.6227871040230926,0.6941337578674385,0.9803005188518995
15,3,1,1.5532830208633772,0.0036779645807365024,0.7261946018894977,-0.1401830725648063,0.7850324532306925,0.9194159344837582,0.8496490469816138,0.9906547318862741
15,4,1,2.457113079902757,0.002219173464085277,0.8104670141524037,-0.18259851681831774,0.6172221495552003,0.838617218525786,0.7197997906071337,0.9796682236851144
15,5,1,2.378824954376712,0.0057905929402162215,0.8488291438459261,-0.23892148910417924,0.5430839025495452,0.7081154471226534,0.7100223369032167,0.9405880222613263
16,2,1,1.407056618435231,0.011803076279148964,0.2648897057402645,-0.4281346262785889,0.15655192285244568,0.15640227487763458,0.22282144936692075,0.2981983056761454
16,3,1,1.2963286806926986,0.016430242636602407,0.35695012672903104,-0.5265955211255076,0.0006647538931256969,0.0010197861296180144,0.001097233293380957,0.0022479316790028916
16,4,1,1.1276305398311295,0.02002524115405671,0.44891551582024986,-0.5304476790952974,0.00016986002569790103,0.023585092857739073,0.0011041755755786776,0.04936295290478952
16,5,1,1.0243985147838286,0.023011088435843048,0.49557069035137863,-0.5604291969421705,-0.00019139389995146861,-0.00019116372465439403,0.00027943965922548885,0.0003015972115192234
17,2,1,2.4209516152353157,0.000715181894818648,0.4423644995972773,-0.21315750806941142,0.5367032172552872,0.5564764749602322,0.7156070749488949,0.7653688617904869
17,3,1,4.521741510333294,0.001526668759574127,0.5708299549610977,-0.16860220694202116,0.3878302650207942,0.6156214173052502,0.48841496728480105,0.7954986378975498
17,4,1,3.07606635891652,0.004968208903143062,0.6467911607653266,-0.2212120868324945,0.4850184306923472,0.6242563129386021,0.6563578874328349,0.87368199012317
17,5,1,2.798686360601082,0.0031376985439556184,0.7227894488995065,-0.21967363206216106,0.5285949507750094,0.6585637106651439,0.7213559432831298,0.9143230395624355
18,2,1,2.3558201767311986,0.0004269090947704327,0.4070557878716032,-0.21270477708490249,0.5462358451543191,0.5629056160283089,0.7228595449290218,0.7680958007563737
18,3,1,4.198239497886136,0.001581786428539181,0.5597271309622036,-0.1653056283054038,0.40680599628804487,0.6431540746684741,0.5139102959295512,0.8257838383600106
18,4,1,3.1223452792109567,0.0044426432010643705,0.6408003123603287,-0.22128393848150765,0.46389857470007867,0.6197946331452125,0.6245397658077179,0.8571181115622143
18,5,1,2.988252271215716,0.00383637983688062,0.7092071183397554,-0.23179963746436003,0.4959448520372466,0.6315684249533942,0.6780954784434684,0.8824837465337869
19,2,1,3.1294633002897454,0.002375114703784462,0.3717399472768326,-0.11717882560616097,0.09820800765849945,0.5286800863401134,0.42034852584902743,0.9366387937610198
19,3,1,2.4336683824332948,0.0063399787440459295,0.5815973676934174,-0.21934160855610163,0.10718764783463451,0.35072877759911614,0.5671254434820452,0.9016416289849668
19,4,1,2.408670924708696,0.006206506701157282,0.708101599287348,-0.2864130061401411,0.06151325898391146,0.36178177262602307,0.4928444493114617,0.8554050505587542
19,5,1,2.160703663086411,0.006968184227765222,0.7969487885814392,-0.33948624016535,0.06570094184948574,0.2705147065540525,0.5605322710321531,0.8317178606292801
20,2,1,1.522490418750547,5.17890312830733e-05,0.5331286650523712,-0.10275870998352103,0.6384588734169488,0.7244613354062653,0.9097243848788409,0.9990967678499092
20,3,1,1.5616595546615124,0.0016661179117467976,0.753125976808808,-0.17617537773262026,0.6496561406068371,0.7327012913594428,0.913519099107428,0.9989693474572746
20,4,1,1.5139280408431117,0.004054984210805321,0.829275905819417,-0.23212082001646078,0.6564931681356582,0.7359670588851137,0.91559714052988,0.9988676768709975
20,5,1,1.4518638176910519,0.006577267585992378,0.8685027565910484,-0.27716107059758865,0.661805176840941,0.7407376782874038,0.917840161178244,0.9988147949628011
21,2,1,1.7027214301366096,0.011672218852023561,0.28874077469485515,-0.3533014345752185,0.005272287331382145,0.06540553260224963,0.17933729025784387,0.32951323294939555
21,3,1,0.5077937316110844,0.03011311403790802,0.43632498101423667,-0.4470172617163519,0.0455690570227604,0.05733776486287187,0.21002160816229604,0.3090580711651952
21,4,1,-0.43660077277084375,0.058576484546997015,0.499936194241231,-0.5330434937898564,0.011018858393348095,0.07035117848246912,0.0900770113434134,0.2180550739643711
21,5,1,-1.193099673152315,0.08875974307516665,0.5749940006214674,-0.5681249997263502,0.03783473112857222,0.09014928775949693,0.10241091575927568,0.23106340059962008
22,2,1,0.005973873140945245,0.027086204902132024,0.31590544143765564,-0.3404097512762189,0.17099899155039913,0.183878265708283,0.21072028004217874,0.29005382101623256
22,3,1,-0.8503029047706783,0.06888506086806562,0.4713244321643242,-0.43679168420122927,0.11489810220091551,0.13751691400408364,0.17697160825255207,0.3599683266004694
22,4,1,-1.6463978943632345,0.122409587894135,0.5731907983686212,-0.47413787481879077,0.09910898815486195,0.14565681286847743,0.230216947933755,0.3650540768688476
22,5,1,-2.4182235613869953,0.18364957568392515,0.6435243495970192,-0.5127320542496056,0.07196705793508476,0.15663656466939238,0.12548080410850315,0.2790834947552179
23,2,1,0.021508593630885794,0.037656942309790026,0.21815261138230432,-0.6643426885215985,-0.00022107691787998096,-0.0006340768219870729,0.0001495929949481878,-0.00046400391535970307
23,3,1,0.19643117307628105,0.038320583419560586,0.35349249060191906,-0.6380135107971502,0.00012984833023946152,0.0007684336944561099,-4.4357376068843156e-05,-0.0002224916711553271
23,4,1,0.29652647978060986,0.037222921430826235,0.44081281412029844,-0.6233366355993791,-5.7782210546979404e-05,7.195798367857886e-05,-0.0006012076615897455,-0.0015642872346312564
23,5,1,0.35425047446956737,0.036619099353954174,0.4978029001011396,-0.6101824274469282,-5.637467628902382e-05,-0.00013349050872500933,0.0004736400193644974,-0.0007807740939748697
24,2,1,0.6018540276193676,0.038262418584581334,0.3074963314086079,-0.41304116306342215,0.383226588937438,0.39100478465818556,0.5909303380702159,0.6439587996170368
24,3,1,0.4527155970132888,0.04170785291827611,0.5209277622105468,-0.3928724717148169,0.3115936124697362,0.37830278152606794,0.6426635421618321,0.7372714263578757
24,4,1,0.4543354779893731,0.04037382089547178,0.6700440395579698,-0.4065574735266497,0.2701124012780526,0.3665777634926193,0.6730329894577118,0.7864694880193448
24,5,1,0.4152219542826429,0.04106830383174876,0.7674063344317789,-0.44228527989274974,0.2366459776726382,0.3510025488370945,0.6925188007507679,0.8148910186780216
